experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E10,val,70m,2922,1971756,5317994,35789507,674.8,0.947783632131158,0.8706320289331116,0.8307828289610455,0.9075711393169532,0.9075711393169532
E10,val,90m,3854,2217807,3149107,53104204,575.5,0.9599109475611779,0.9440191707115677,0.9082125640217776,0.9518987361739355,0.9518987361739355
E9,val,50m,2353,2006877,3090962,52329681,852.9,0.9630658055300431,0.9442272439892101,0.9112300339628093,0.9535534893970182,0.9535534893970182
E9,val,70m,2922,2072958,5239761,35867740,709.4,0.9453632086578878,0.8725351609186829,0.8306474926540248,0.9074903781172788,0.9074903781172788
E9,val,90m,3854,2237735,3144229,53109082,580.6,0.9595688583139281,0.9441058856073362,0.9079865318189029,0.9517745714413509,0.9517745714413509
E11,val,50m,2353,1861993,3127062,52293581,791.3,0.9656177035442355,0.9435758621566319,0.9129045842094262,0.9544695451568647,0.9544695451568647
E11,val,70m,2922,1955045,5333451,35774050,669.1,0.9481820329907173,0.8702560148329113,0.8307462823958416,0.9075493315312587,0.9075493315312587
E11,val,90m,3854,2064071,3319385,52933926,535.6,0.9624700695918055,0.9409921844422617,0.9076869397189317,0.9516099532061223,0.9516099532061223
E11,val,50m,2353,1924163,3032881,52387762,817.7,0.9645719977702853,0.9452752469869379,0.9135572278333266,0.9548261369404925,0.9548261369404925
E11,val,70m,2922,1947733,5240486,35867015,666.6,0.9484927679539186,0.8725175242348086,0.8330465699013485,0.9089202463046878,0.9089202463046878
E11,val,90m,3854,2196196,3185991,53067320,569.8,0.9602595679941882,0.9433634937506151,0.9079173242641706,0.9517365482430727,0.9517365482430727
E12,val,50m,2353,1962671,2862641,52558002,834.1,0.9640013431235507,0.948347026576359,0.9159108865688711,0.9561101124166996,0.9561101124166996
E12,val,70m,2922,2066459,5107748,35999753,707.2,0.9457140889143345,0.8757465699508203,0.8338302300738667,0.9093865030682583,0.9093865030682583
E12,val,90m,3854,2234288,3075335,53177976,579.7,0.959678817671119,0.9453305957403985,0.9092179694365623,0.9524506724655284,0.9524506724655284
E14,val,50m,2353,1846565,3285232,52135411,784.8,0.9657929342934743,0.9407218714513996,0.9103885595400409,0.9530925580492721,0.9530925580492721
E14,val,70m,2922,1991541,5380760,35726741,681.6,0.9471995834804965,0.8691051543123459,0.8289451306133422,0.9064734821600174,0.9064734821600174
E14,val,90m,3854,2204792,3284886,52968425,572.1,0.9600387267612093,0.9416054638988256,0.906092094709264,0.9507327554888895,0.9507327554888895
E13,val,50m,2353,1960892,3047708,52372935,833.4,0.9639102910972921,0.9450077112963108,0.9127140812806752,0.9543654121786557,0.9543654121786557
E13,val,70m,2922,2063305,5279425,35828076,706.1,0.9455468514066538,0.8715702761887646,0.8299144565426905,0.9070527352526319,0.9070527352526319
E13,val,90m,3854,2247707,3137496,53115815,583.2,0.9594009391237773,0.9442255763398515,0.9079468497454166,0.951752770122047,0.951752770122047
E13b,val,50m,2353,1927814,3078787,52341856,819.3,0.9644771379667484,0.944446927474297,0.9126985927450483,0.954356944901779,0.954356944901779
E13b,val,70m,2922,2034597,5322848,35784653,696.3,0.946202079628758,0.8705139482937656,0.829460194541302,0.9067813522439294,0.9067813522439294
E13b,val,90m,3854,2191128,3138789,53114522,568.5,0.9603814800115342,0.9442025910261514,0.9088036930254376,0.9522233180353831,0.9522233180353831
E16,val,50m,2353,1393721,6877843,48542800,592.3,0.9720901462078206,0.8758974521461239,0.8544106909302006,0.9214902557551748,0.9214902557551748
E16,val,70m,2922,1537806,9821824,31285677,526.3,0.9531492133238847,0.7610697862660133,0.7336253201319416,0.8463481833273031,0.8463481833273031
E16,val,90m,3854,2331491,6016972,50236339,605.0,0.9556479504670424,0.8930379049154976,0.8574978029284782,0.9232827102961538,0.9232827102961538
E18,val,50m,2353,2393049,4378672,51041971,1017.0,0.9552157180815111,0.9209920390133314,0.8828699436804679,0.9377917435494366,0.9377917435494366
E18,val,70m,2922,2131592,9196108,31911393,729.5,0.9373852792285962,0.7762912418344264,0.7380217943054432,0.8492664438657112,0.8492664438657112
E18,val,90m,3854,2642649,5164970,51088341,685.7,0.9508170424553858,0.9081837156216442,0.8674337085260163,0.9290115141069079,0.9290115141069079
E16,val,50m,2353,1393730,6877741,48542902,592.3,0.9720900280179069,0.8758992926155678,0.8544123509028237,0.9214912211805013,0.9214912211805013
E16,val,70m,2922,1537824,9821572,31285929,526.3,0.9531490503234016,0.7610759165340634,0.7336309196846297,0.8463519095726404,0.8463519095726404
E16,val,90m,3854,2331508,6016987,50236324,605.0,0.9556476287627746,0.8930376382645265,0.8574972980628295,0.9232824176456216,0.9232824176456216
E17,val,50m,2353,2042501,3050027,52370616,868.0,0.9624630766879226,0.9449658676821904,0.9113774909357537,0.9536342195696469,0.9536342195696469
E17,val,70m,2922,2130342,5309209,35798292,729.1,0.9438328836203251,0.8708457368887472,0.8279388960267958,0.905871523196319,0.905871523196319
E17,val,90m,3854,2263680,3123188,53130123,587.4,0.9591347790293421,0.9444799258127208,0.9079435236169254,0.9517509427068567,0.9517509427068567
E16,val,50m,2353,2081877,2500172,52920471,884.8,0.9621493067895921,0.9548873512708957,0.9203156835561278,0.9585045744685534,0.9585045744685534
E16,val,70m,2922,2203899,4837697,36269804,754.2,0.9427167434338178,0.8823159549397059,0.8374193399428307,0.9115168451082984,0.9115168451082984
E16,val,90m,3854,2460489,2641190,53612121,638.4,0.9561195920789117,0.9530482747939922,0.9131093712210743,0.9545814629910748,0.9545814629910748
E12,val,50m,2353,2055980,2540581,52880062,873.8,0.9625750249717646,0.954158218626224,0.9200272952709819,0.9583481417550727,0.9583481417550727
E12,val,70m,2922,2128164,4831873,36275628,728.3,0.9445845347771884,0.8824576322457528,0.839020933296618,0.9124647991826759,0.9124647991826759
E12,val,90m,3854,2406714,2730388,53522923,624.5,0.9569688964725429,0.9514626259065873,0.9124258470738789,0.95420781775141,0.95420781775141
E19,val,50m,2353,2200202,2429609,52991034,935.1,0.9601349388152841,0.95616057720586,0.9196504147066901,0.9581436366341801,0.9581436366341801
E19,val,70m,2922,2289134,4787638,36319863,783.4,0.9407098298875753,0.883533713226691,0.8369280936183167,0.9112257540465452,0.9112257540465452
E19,val,90m,3854,2575025,2527258,53726053,668.1,0.9542633091323741,0.9550736133558415,0.9132682760226282,0.9546682893014496,0.9546682893014496
E20,val,50m,2353,2071440,2517414,52903229,880.3,0.9623201005539461,0.9545762397596128,0.9201828536983068,0.9584325283667834,0.9584325283667834
E20,val,70m,2922,2092800,4878390,36229111,716.2,0.9453889447214652,0.8813260382819164,0.8386309854646595,0.9122341482271065,0.9122341482271065
E20,val,90m,3854,2424551,2644576,53608735,629.1,0.956730165709002,0.9529880827814723,0.9136109117268095,0.954855457949268,0.954855457949268
