experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E1,val,medium,5307,5959715,9206756,127399604,1123.0,0.9553108470807345,0.9326037528560157,0.893617952237234,0.943820743969458,0.943820743969458
E1,val,small,3228,969906,1068391,14986979,300.5,0.9392170840361327,0.9334558468599544,0.8802781816870348,0.9363276032881753,0.9363276032881753
E1,val,tiny,230,15133,23485,96240,65.8,0.864123261471933,0.8038421382327803,0.7136395319515982,0.8328934045293196,0.8328934045293196
E2,val,empty,364,28943,0,0,79.5,0.0,0.0,0.0,0.0,0.0
E2,val,medium,5307,6059442,9477588,127128772,1141.8,0.954504668108245,0.9306211804486989,0.8910949240659645,0.9424116290789447,0.9424116290789447
E2,val,small,3228,952557,1090818,14964552,295.1,0.940155150033835,0.9320589933461456,0.8798574923328346,0.9360895662797967,0.9360895662797967
E2,val,tiny,230,14410,24179,95546,62.7,0.8689475790308224,0.7980455209849254,0.7123122227601205,0.8319887147823146,0.8319887147823146
E5,val,empty,364,25845,0,0,71.0,0.0,0.0,0.0,0.0,0.0
E5,val,medium,5307,5829205,9268865,127337495,1098.4,0.9562262562637649,0.9321490961328588,0.894000701299566,0.944034181915718,0.944034181915718
E5,val,small,3228,919659,1051342,15004028,284.9,0.9422458504741964,0.9345177345648158,0.8838882101467933,0.9383658811452729,0.9383658811452729
E5,val,tiny,230,15038,19924,99801,65.4,0.8690514546444422,0.8335852996443236,0.7405667727783289,0.8509489947302864,0.8509489947302864
E5_OOF,val,empty,364,23484,0,0,64.5,0.0,0.0,0.0,0.0,0.0
E5_OOF,val,medium,5307,6041297,9262909,127343451,1138.4,0.9547077376492843,0.9321926958598408,0.8927132325769636,0.9433158887588249,0.9433158887588249
E5_OOF,val,small,3228,936139,1064003,14991367,290.0,0.9412250103688491,0.9337291510566188,0.8822857934513003,0.9374620969046031,0.9374620969046031
